,Notificados,Acumulado,Acumulado%,Ultimas24h,ConfirmacaoDiagnostica,Descartados,AguardandoResultado,EmInvestigacao,Data
0,3773,3224,"3,32%",4,3,518,26,5,2020-07-27
1,3754,3210,"3,34%",4,7,516,26,2,2020-07-25
2,3743,3199,"3,35%",2,4,515,26,3,2020-07-24
3,3735,3193,"3,39%",4,6,514,26,2,2020-07-23
4,3722,3183,"3,43%",8,6,501,4,34,2020-07-22
5,3711,3169,"3,44%",8,15,499,5,38,2020-07-21
6,3688,3146,"3,44%",5,2,498,6,38,2020-07-20
7,3690,3149,"3,46%",3,17,498,5,38,2020-07-19
8,3670,3129,"3,46%",5,6,498,5,38,2020-07-18
9,3658,3118,"3,51%",5,19,496,6,38,2020-07-17
10,3636,3094,"3,51%",15,0,494,10,38,2020-07-16
11,3620,3080,"3,54%",4,12,492,10,38,2020-07-15
12,3601,3064,"3,57%",4,12,486,8,43,2020-07-14
13,3583,3048,"3,61%",5,4,485,5,45,2020-07-13
14,3571,3039,"3,64%",5,11,482,4,46,2020-07-12
15,3552,3023,"3,63%",6,9,478,3,48,2020-07-11
16,3536,3008,"3,65%",8,15,476,1,51,2020-07-10
17,3513,2985,"3,67%",4,14,473,1,54,2020-07-09
18,3499,2967,"3,70%",4,11,465,4,63,2020-07-08
19,3477,2938,"3,84%",8,1,453,15,71,2020-07-06
20,3472,2929,"3,85%",7,4,447,14,82,2020-07-05
21,3460,2918,"3,84%",6,25,447,13,82,2020-07-04
22,3429,2887,"3,87%",16,9,447,13,82,2020-07-03
23,3401,2862,"3,89%",7,12,441,10,88,2020-07-02
24,3381,2843,"3,93%",4,16,437,10,91,2020-07-01
25,3365,2823,"3,99%",6,25,434,19,89,2020-06-30
26,3377,2792,"3,99%",8,2,408,21,156,2020-06-29
27,3362,2772,"4,02%",5,28,347,32,211,2020-06-27
28,3318,2731,"4,06%",10,11,347,30,210,2020-06-25
29,3286,2710,"4,06%",4,20,334,26,216,2020-06-24
30,3262,2686,"4,13%",6,9,334,26,216,2020-06-23
31,3248,2671,"4,19%",5,9,330,35,212,2020-06-22
32,3153,2657,"4,19%",3,4,254,30,212,2020-06-21
33,3146,2650,"4,21%",5,21,254,30,212,2020-06-20
34,3120,2624,"4,25%",7,12,254,30,212,2020-06-19
35,3140,2605,"4,29%",11,15,253,24,258,2020-06-18
36,3131,2579,"4,33%",10,19,239,70,243,2020-06-17
37,3108,2550,"4,40%",9,29,230,82,246,2020-06-16
38,3059,2512,"4,42%",6,14,225,72,250,2020-06-15
39,3047,2492,"4,41%",7,20,214,80,261,2020-06-14
40,3020,2465,"4,40%",12,24,214,80,261,2020-06-13
41,2982,2429,"4,41%",12,17,213,79,261,2020-06-12
42,2948,2400,"4,45%",9,28,211,76,261,2020-06-11
43,2920,2363,"4,47%",16,32,211,74,272,2020-06-09
44,2863,2315,"4,52%",6,38,210,74,264,2020-06-09
45,2814,2271,"4,56%",12,9,206,83,254,2020-06-08
46,2774,2232,"4,58%",9,24,195,-,347,2020-06-06
47,2732,2199,"4,61%",25,16,193,-,340,2020-06-05
48,2688,2158,"4,64%",20,0,192,-,338,2020-06-04
49,2669,2138,"4,82%",28,8,192,-,339,2020-06-03
50,2616,2102,"4,87%",22,9,188,-,326,2020-06-02
51,2590,2071,"4,96%",19,0,186,-,333,2020-06-01
