INDICADORES,REDE ESTADUAL,REDE MUNICIPAL,REDE PRIVADA,"FORÇASARMADAS",,,,,
"",TOTAL,HOSPITAIS,FUNDAÇÕES,MATERNIDADES,SPA,UPA,,,
TOTAL  SALA VERMELHA,129,78,11,9,23,8,-,-,-
LEITOS SALA VERMELHA - NÃO COVID,64,38,5,3,14,4,-,-,-
LEITOS SALA VERMELHA - NÃO COVID - OCUPADOS,33,29,0,1,2,1,-,-,-
LEITOS SALA VERMELHA COVID,65,40,6,6,9,4,-,-,-
LEITOS SALA VERMELHA COVID - OCUPADOS,21,18,0,3,0,0,-,-,-
TOTAL DE LEITOS CLÍNICOS,2.332,1.329,312,504,148,39,123,641,66
LEITOS CLINICOS NÃO COVID,1.471,601,286,478,80,26,0,413,12
LEITOS CLINICOS NÃO COVID - OCUPADOS,707,251,73,358,22,3,0,228,3
LEITOS CLINICOS COVID,861,728,26,26,68,13,123,228,54
LEITOS CLINICOS COVID - OCUPADOS,355,331,3,17,2,2,85,106,8
TOTAL  DE LEITOS DE UTI,467,353,43,71,NT,NT,38,252,17
UTI NÃO COVID,215,124,30,61,NT,NT,0,99,0
UTI NÃO COVID - OCUPADOS,124,64,5,55,NT,NT,0,58,0
UTI COVID,252,229,13,10,NT,NT,38,153,17
UTI COVID - OCUPADOS,171,158,3,10,NT,NT,28,87,5
TAXA DE OCUPAÇÃO,,,,,,,,,
SALA VERMELHA | COVID-19,33%,,,,,,,,
SALA VERMELHA | NÃO COVID-19,52%,,,,,,,,
LEITOS CLINICOS | COVID-19,41%,,,,,,,,
LEITOS CLINICOS | NÃO COVID-19,49%,,,,,,,,
UTI | COVID-19,69%,,,,,,,,
UTI | NÃO COVID-19,60%,,,,,,,,
