,Municipio,Notificados,Confirmados,Clinico Epidemiologico,Participacao por Municipio,Incidencia, Obitos,Letalidade,Mortalidade,Data
0,Manaus,52.751000000000005,19.962,125.0,"42,95%","914,53",1.4169999999999998,"7,10%","64,92",2020-06-04
1,INTERIOR,48.543,26.511,272.0,"57,05%","1.351,34",741.0,"2,80%","37,77",2020-06-04
2,Manacapuru,6.289,2.591,11.0,"5,58%","2.660,79",101.0,"3,90%","103,72",2020-06-04
3,São Gabriel da Cachoeira,2.616,2.232,23.0,"4,80%","4.898,60",26.0,"1,16%","57,06",2020-06-04
4,Tefé,2.259,2.106,60.0,"4,53%","3.518,86",60.0,"2,85%","100,25",2020-06-04
5,Coari,2.6,2.066,0.0,"4,45%","2.427,82",59.0,"2,86%","69,33",2020-06-04
6,Parintins,2.211,1.49,1.0,"3,21%","1.303,90",58.0,"3,89%","50,76",2020-06-04
7,Tabatinga,2.1180000000000003,1.072,2.0,"2,31%","1.628,09",60.0,"5,60%","91,12",2020-06-04
8,Benjamin Constant,1.635,1.02,1.0,"2,19%","2.372,98",25.0,"2,45%","58,16",2020-06-04
9,Itacoatiara,1.6969999999999998,879.0,0.0,"1,89%","867,40",45.0,"5,12%","44,41",2020-06-04
10,Santo Antônio do Içá,1.143,759.0,2.0,"1,63%","3.513,56",16.0,"2,11%","74,07",2020-06-04
11,Iranduba,1.8090000000000002,739.0,4.0,"1,59%","1.530,15",26.0,"3,52%","53,83",2020-06-04
12,Careiro,1.391,734.0,0.0,"1,58%","1.938,26",13.0,"1,77%","34,33",2020-06-04
13,Maués,1.391,705.0,15.0,"1,52%","1.103,20",29.0,"4,11%","45,38",2020-06-04
14,Autazes,1.014,633.0,1.0,"1,36%","1.599,90",22.0,"3,48%","55,60",2020-06-04
15,Rio Preto da Eva,2.251,553.0,5.0,"1,19%","1.658,32",11.0,"1,99%","32,99",2020-06-04
16,Barcelos,1.178,534.0,0.0,"1,15%","1.941,68",17.0,"3,18%","61,81",2020-06-04
17,Presidente Figueiredo,1.298,501.0,0.0,"1,08%","1.380,96",16.0,"3,19%","44,10",2020-06-04
18,São Paulo de Olivença,860.0,468.0,1.0,"1,01%","1.190,87",11.0,"2,35%","27,99",2020-06-04
19,Boca do Acre,873.0,456.0,0.0,"0,98%","1.329,14",6.0,"1,32%","17,49",2020-06-04
20,Tapauá,1.117,439.0,0.0,"0,94%","2.558,87",3.0,"0,68%","17,49",2020-06-04
21,Anori,690.0,403.0,0.0,"0,87%","1.918,13",5.0,"1,24%","23,80",2020-06-04
22,Beruri,376.0,374.0,1.0,"0,80%","1.900,50",5.0,"1,34%","25,41",2020-06-04
23,Itapiranga,377.0,372.0,1.0,"0,80%","4.066,46",4.0,"1,08%","43,73",2020-06-04
24,Alvarães,538.0,367.0,0.0,"0,79%","2.287,89",10.0,"2,72%","62,34",2020-06-04
25,Barreirinha,579.0,343.0,0.0,"0,74%","1.070,50",4.0,"1,17%","12,48",2020-06-04
26,Amaturá,326.0,326.0,0.0,"0,70%","2.825,94",8.0,"2,45%","69,35",2020-06-04
27,Fonte Boa,365.0,293.0,31.0,"0,63%","1.663,92",10.0,"3,41%","56,79",2020-06-04
28,Tonantins,585.0,292.0,1.0,"0,63%","1.556,92",12.0,"4,11%","63,98",2020-06-04
29,Borba,665.0,275.0,2.0,"0,59%","668,11",14.0,"5,09%","34,01",2020-06-04
30,Carauari,938.0,264.0,0.0,"0,57%","933,06",2.0,"0,76%","7,07",2020-06-04
31,Urucará,526.0,241.0,3.0,"0,52%","1.482,53",2.0,"0,83%","12,30",2020-06-04
32,Uarini,212.0,208.0,0.0,"0,45%","1.536,19",0.0,"0,00%","0,00",2020-06-04
33,Novo Aripuanã,271.0,205.0,0.0,"0,44%","799,41",7.0,"3,41%","27,30",2020-06-04
34,Anamã,306.0,197.0,0.0,"0,42%","1.447,04",0.0,"0,00%","0,00",2020-06-04
35,Eirunepé,409.0,177.0,0.0,"0,38%","501,80",0.0,"0,00%","0,00",2020-06-04
36,Urucurituba,537.0,175.0,0.0,"0,38%","758,73",2.0,"1,14%","8,67",2020-06-04
37,Novo Airão,414.0,165.0,0.0,"0,36%","848,15",5.0,"3,03%","25,70",2020-06-04
38,Jutaí,339.0,146.0,7.0,"0,31%","1.019,77",10.0,"6,85%","69,85",2020-06-04
39,Manaquiri,270.0,140.0,1.0,"0,30%","436,07",6.0,"4,29%","18,69",2020-06-04
40,Silves,273.0,135.0,2.0,"0,29%","1.472,03",4.0,"2,96%","43,62",2020-06-04
41,Humaitá,463.0,123.0,0.0,"0,26%","223,31",2.0,"1,63%","3,63",2020-06-04
42,Nova Olinda do Norte,167.0,123.0,4.0,"0,26%","329,07",9.0,"7,32%","24,08",2020-06-04
43,Japurá,270.0,122.0,47.0,"0,26%","4.428,31",0.0,"0,00%","0,00",2020-06-04
44,São Sebastião do Uatumã,180.0,119.0,0.0,"0,26%","848,79",1.0,"0,84%","7,13",2020-06-04
45,Maraã,329.0,109.0,23.0,"0,23%","598,11",1.0,"0,92%","5,49",2020-06-04
46,Caapiranga,210.0,104.0,0.0,"0,22%","795,05",2.0,"1,92%","15,29",2020-06-04
47,Atalaia do Norte,94.0,89.0,0.0,"0,19%","446,76",1.0,"1,12%","5,02",2020-06-04
48,Boa Vista do Ramos,161.0,78.0,3.0,"0,17%","406,10",2.0,"2,56%","10,41",2020-06-04
49,Lábrea,171.0,70.0,2.0,"0,15%","151,95",0.0,"0,00%","0,00",2020-06-04
50,Manicoré,498.0,62.0,17.0,"0,13%","111,21",2.0,"3,23%","3,59",2020-06-04
51,Codajás,107.0,61.0,0.0,"0,13%","213,01",2.0,"3,28%","6,98",2020-06-04
52,Pauini,65.0,60.0,0.0,"0,13%","308,86",0.0,"0,00%","0,00",2020-06-04
53,Nhamundá,130.0,59.0,1.0,"0,13%","278,66",2.0,"3,39%","9,45",2020-06-04
54,Careiro da Várzea,134.0,52.0,0.0,"0,11%","172,04",1.0,"1,92%","3,31",2020-06-04
55,Guajará,87.0,51.0,0.0,"0,11%","305,79",1.0,"1,96%","6,00",2020-06-04
56,Juruá,320.0,44.0,0.0,"0,09%","299,08",0.0,"0,00%","0,00",2020-06-04
57,Santa Isabel do Rio Negro,107.0,43.0,0.0,"0,09%","170,93",1.0,"2,33%","3,98",2020-06-04
58,Canutama,104.0,36.0,0.0,"0,08%","230,34",0.0,"0,00%","0,00",2020-06-04
59,Apuí,139.0,27.0,0.0,"0,06%","122,88",0.0,"0,00%","0,00",2020-06-04
60,Itamarati,33.0,4.0,0.0,"0,01%","50,95",0.0,"0,00%","0,00",2020-06-04
61,Envira***,11.0,0.0,0.0,"0,00%","0,00",0.0,"0,00%","0,00",2020-06-04
62,Ipixuna***,18.0,0.0,0.0,"0,00%","0,00",0.0,"0,00%","0,00",2020-06-04
