,Municipio,Notificados,Confirmados,Clinico Epidemiologico,Participação por Municipio,Incidencia, Obitos,Letalidade,Mortalidade,Data
3,Manaus,54.082,20.422,125.0,"42,84%","935,60",1.432,"7,01%","65,60",2020-06-05
4,INTERIOR,50.887,27.244,276.0,"57,16%","1.388,70",767,"2,82%","39,10",2020-06-05
5,Manacapuru,6.344,2.61,12,"5,48%","2.680,30",107,"4,10%","109,88",2020-06-05
6,São Gabriel da Cachoeira,2.626,2.241,23,"4,70%","4.918,36",27,"1,20%","59,26",2020-06-05
7,Tefé,2.555,2.1719999999999997,60,"4,56%","3.629,13",60,"2,76%","100,25",2020-06-05
8,Coari,2.796,2.077,0,"4,36%","2.440,74",63,"3,03%","74,03",2020-06-05
9,Parintins,2.761,1.548,1,"3,25%","1.354,65",59,"3,81%","51,63",2020-06-05
10,Tabatinga,2.128,1.088,2,"2,28%","1.652,39",60,"5,51%","91,12",2020-06-05
11,Benjamin Constant,1.659,1.044,1,"2,19%","2.428,81",25,"2,39%","58,16",2020-06-05
12,Itacoatiara,1.781,930.0,0,"1,95%","917,73",50,"5,38%","49,34",2020-06-05
13,Iranduba,1.999,841.0,5,"1,76%","1.741,35",26,"3,09%","53,83",2020-06-05
14,Santo Antônio do Içá,1.162,786.0,2,"1,65%","3.638,55",16,"2,04%","74,07",2020-06-05
15,Careiro,1.394,737.0,0,"1,55%","1.946,18",13,"1,76%","34,33",2020-06-05
16,Maués,1.434,720.0,15,"1,51%","1.126,67",29,"4,03%","45,38",2020-06-05
17,Autazes,1.040,647.0,1,"1,36%","1.635,28",22,"3,40%","55,60",2020-06-05
18,Rio Preto da Eva,2.261,559.0,6,"1,17%","1.676,31",11,"1,97%","32,99",2020-06-05
19,Barcelos,1.188,546.0,0,"1,15%","1.985,31",18,"3,30%","65,45",2020-06-05
20,Presidente Figueiredo,1.329,518.0,0,"1,09%","1.427,82",16,"3,09%","44,10",2020-06-05
21,São Paulo de Olivença,895,477.0,1,"1,00%","1.213,77",12,"2,52%","30,54",2020-06-05
22,Boca do Acre,898,466.0,0,"0,98%","1.358,28",7,"1,50%","20,40",2020-06-05
23,Tapauá,1.165,456.0,0,"0,96%","2.657,96",3,"0,66%","17,49",2020-06-05
24,Anori,690,416.0,0,"0,87%","1.980,01",5,"1,20%","23,80",2020-06-05
25,Itapiranga,377,377.0,1,"0,79%","4.121,12",5,"1,33%","54,66",2020-06-05
26,Beruri,380,374.0,1,"0,78%","1.900,50",5,"1,34%","25,41",2020-06-05
27,Alvarães,613,368.0,0,"0,77%","2.294,12",10,"2,72%","62,34",2020-06-05
28,Barreirinha,595,360.0,0,"0,76%","1.123,56",4,"1,11%","12,48",2020-06-05
29,Amaturá,330,329.0,0,"0,69%","2.851,94",8,"2,43%","69,35",2020-06-05
30,Borba,750,300.0,3,"0,63%","728,85",14,"4,67%","34,01",2020-06-05
31,Fonte Boa,370,293.0,31,"0,61%","1.663,92",10,"3,41%","56,79",2020-06-05
32,Tonantins,590,292.0,1,"0,61%","1.556,92",12,"4,11%","63,98",2020-06-05
33,Carauari,983,284.0,0,"0,60%","1.003,75",2,"0,70%","7,07",2020-06-05
34,Urucará,528,243.0,3,"0,51%","1.494,83",3,"1,23%","18,45",2020-06-05
35,Uarini,238,235.0,0,"0,49%","1.735,60",1,"0,43%","7,39",2020-06-05
36,Novo Aripuanã,271,212.0,0,"0,44%","826,70",7,"3,30%","27,30",2020-06-05
37,Anamã,318,204.0,0,"0,43%","1.498,46",0,"0,00%","0,00",2020-06-05
38,Urucurituba,574,186.0,0,"0,39%","806,42",2,"1,08%","8,67",2020-06-05
39,Eirunepé,500,179.0,0,"0,38%","507,47",0,"0,00%","0,00",2020-06-05
40,Novo Airão,429,172.0,0,"0,36%","884,14",5,"2,91%","25,70",2020-06-05
41,Jutaí,344,147.0,7,"0,31%","1.026,75",11,"7,48%","76,83",2020-06-05
42,Humaitá,540,143.0,0,"0,30%","259,62",2,"1,40%","3,63",2020-06-05
43,Manaquiri,275,141.0,1,"0,30%","439,18",6,"4,26%","18,69",2020-06-05
44,Silves,275,137.0,2,"0,29%","1.493,84",4,"2,92%","43,62",2020-06-05
45,Nova Olinda do Norte,167,127.0,4,"0,27%","339,77",11,"8,66%","29,43",2020-06-05
46,Japurá,278,126.0,47,"0,26%","4.573,50",0,"0,00%","0,00",2020-06-05
47,São Sebastião do Uatumã,216,124.0,0,"0,26%","884,45",1,"0,81%","7,13",2020-06-05
48,Atalaia do Norte,121,119.0,0,"0,25%","597,36",1,"0,84%","5,02",2020-06-05
49,Maraã,334,111.0,23,"0,23%","609,09",1,"0,90%","5,49",2020-06-05
50,Caapiranga,213,107.0,0,"0,22%","817,98",2,"1,87%","15,29",2020-06-05
51,Boa Vista do Ramos,179,83.0,3,"0,17%","432,13",2,"2,41%","10,41",2020-06-05
52,Lábrea,179,77.0,2,"0,16%","167,14",0,"0,00%","0,00",2020-06-05
53,Codajás,113,68.0,0,"0,14%","237,46",2,"2,94%","6,98",2020-06-05
54,Manicoré,521,65.0,17,"0,14%","116,59",2,"3,08%","3,59",2020-06-05
55,Nhamundá,135,61.0,1,"0,13%","288,10",2,"3,28%","9,45",2020-06-05
56,Pauini,70,60.0,0,"0,13%","308,86",0,"0,00%","0,00",2020-06-05
57,Guajará,90,54.0,0,"0,11%","323,78",1,"1,85%","6,00",2020-06-05
58,Careiro da Várzea,137,53.0,0,"0,11%","175,35",1,"1,89%","3,31",2020-06-05
59,Juruá,325,44.0,0,"0,09%","299,08",0,"0,00%","0,00",2020-06-05
60,Santa Isabel do Rio Negro,107,43.0,0,"0,09%","170,93",1,"2,33%","3,98",2020-06-05
61,Canutama,109,36.0,0,"0,08%","230,34",0,"0,00%","0,00",2020-06-05
62,Apuí,144,27.0,0,"0,06%","122,88",0,"0,00%","0,00",2020-06-05
63,Itamarati,35,4.0,0,"0,01%","50,95",0,"0,00%","0,00",2020-06-05
64,Envira***,11,0.0,0,"0,00%","0,00",0,"0,00%","0,00",2020-06-05
65,Ipixuna***,18,0.0,0,"0,00%","0,00",0,"0,00%","0,00",2020-06-05
