,Municipio,Notificados,Confirmados,Clinico Epidemiologico,Participacao por Municipio,Incidencia, Obitos,Letalidade,Mortalidade,Data
0,Manaus,60.211000000000006,22.504,143.0,"41,68%","1.030,99",1.56,"6,93%","71,47",2020-06-11
1,INTERIOR,60.341,31.485,381.0,"58,32%","1.604,88",840.0,"2,67%","42,82",2020-06-11
2,Manacapuru (1),6.558,2.728,12.0,"5,05%","2.801,48",117.0,"4,29%","120,15",2020-06-11
3,Tefé,2.802,2.4530000000000003,85.0,"4,54%","4.098,65",64.0,"2,61%","106,94",2020-06-11
4,São Gabriel da Cachoeira,2.676,2.365,52.0,"4,38%","5.190,50",28.0,"1,18%","61,45",2020-06-11
5,Coari,5.096,2.231,0.0,"4,13%","2.621,71",64.0,"2,87%","75,21",2020-06-11
6,Parintins,3.6310000000000002,1.852,2.0,"3,43%","1.620,68",63.0,"3,40%","55,13",2020-06-11
7,Benjamin Constant,1.962,1.237,1.0,"2,29%","2.877,82",25.0,"2,02%","58,16",2020-06-11
8,Tabatinga,2.178,1.156,2.0,"2,14%","1.755,66",67.0,"5,80%","101,76",2020-06-11
9,Itacoatiara,2.105,1.103,0.0,"2,04%","1.088,45",50.0,"4,53%","49,34",2020-06-11
10,Iranduba,2.51,1.069,5.0,"1,98%","2.213,43",34.0,"3,18%","70,40",2020-06-11
11,Santo Antônio do Içá (1),1.3419999999999999,891.0,2.0,"1,65%","4.124,62",16.0,"1,80%","74,07",2020-06-11
12,Careiro,1.449,816.0,0.0,"1,51%","2.154,80",13.0,"1,59%","34,33",2020-06-11
13,Autazes,1.297,772.0,1.0,"1,43%","1.951,22",26.0,"3,37%","65,71",2020-06-11
14,Maués,1.555,770.0,15.0,"1,43%","1.204,91",29.0,"3,77%","45,38",2020-06-11
15,Rio Preto da Eva,2.311,693.0,6.0,"1,28%","2.078,15",11.0,"1,59%","32,99",2020-06-11
16,Barcelos,1.288,678.0,0.0,"1,26%","2.465,28",20.0,"2,95%","72,72",2020-06-11
17,Presidente Figueiredo,1.8090000000000002,666.0,0.0,"1,23%","1.835,77",18.0,"2,70%","49,62",2020-06-11
18,Boca do Acre,1.018,520.0,0.0,"0,96%","1.515,68",8.0,"1,54%","23,32",2020-06-11
19,São Paulo de Olivença,920.0,515.0,2.0,"0,95%","1.310,47",15.0,"2,91%","38,17",2020-06-11
20,Tapauá (1),1.295,512.0,0.0,"0,95%","2.984,38",3.0,"0,59%","17,49",2020-06-11
21,Anori,772.0,503.0,0.0,"0,93%","2.394,10",8.0,"1,59%","38,08",2020-06-11
22,Itapiranga,444.0,444.0,1.0,"0,82%","4.853,52",5.0,"1,13%","54,66",2020-06-11
23,Barreirinha,670.0,439.0,0.0,"0,81%","1.370,12",5.0,"1,14%","15,61",2020-06-11
24,Alvarães (1),648.0,389.0,0.0,"0,72%","2.425,04",10.0,"2,57%","62,34",2020-06-11
25,Beruri,465.0,374.0,1.0,"0,69%","1.900,50",5.0,"1,34%","25,41",2020-06-11
26,Fonte Boa,614.0,357.0,39.0,"0,66%","2.027,37",13.0,"3,64%","73,83",2020-06-11
27,Borba,804.0,345.0,12.0,"0,64%","838,17",16.0,"4,64%","38,87",2020-06-11
28,Amaturá,353.0,343.0,0.0,"0,64%","2.973,30",8.0,"2,33%","69,35",2020-06-11
29,Tonantins (1),695.0,342.0,1.0,"0,63%","1.823,51",14.0,"4,09%","74,65",2020-06-11
30,Carauari,1.15,341.0,0.0,"0,63%","1.205,20",3.0,"0,88%","10,60",2020-06-11
31,Uarini,336.0,336.0,0.0,"0,62%","2.481,54",2.0,"0,60%","14,77",2020-06-11
32,Humaitá,874.0,273.0,0.0,"0,51%","495,64",3.0,"1,10%","5,45",2020-06-11
33,Novo Aripuanã (1),321.0,269.0,0.0,"0,50%","1.048,98",8.0,"2,97%","31,20",2020-06-11
34,Urucará,582.0,257.0,3.0,"0,48%","1.580,95",4.0,"1,56%","24,61",2020-06-11
35,Urucurituba,636.0,235.0,0.0,"0,44%","1.018,86",2.0,"0,85%","8,67",2020-06-11
36,Anamã,370.0,229.0,0.0,"0,42%","1.682,09",0.0,"0,00%","0,00",2020-06-11
37,Eirunepé,639.0,227.0,0.0,"0,42%","643,55",0.0,"0,00%","0,00",2020-06-11
38,Atalaia do Norte,230.0,219.0,0.0,"0,41%","1.099,34",1.0,"0,46%","5,02",2020-06-11
39,Novo Airão,493.0,187.0,0.0,"0,35%","961,24",5.0,"2,67%","25,70",2020-06-11
40,Jutaí,364.0,167.0,7.0,"0,31%","1.166,45",12.0,"7,19%","83,82",2020-06-11
41,Manaquiri,295.0,167.0,1.0,"0,31%","520,17",7.0,"4,19%","21,80",2020-06-11
42,Nova Olinda do Norte,281.0,163.0,5.0,"0,30%","436,09",14.0,"8,59%","37,46",2020-06-11
43,Lábrea,232.0,158.0,3.0,"0,29%","342,96",1.0,"0,63%","2,17",2020-06-11
44,Maraã,444.0,157.0,23.0,"0,29%","861,50",1.0,"0,64%","5,49",2020-06-11
45,Japurá (1),348.0,156.0,61.0,"0,29%","5.662,43",0.0,"0,00%","0,00",2020-06-11
46,São Sebastião do Uatumã,302.0,152.0,0.0,"0,28%","1.084,17",1.0,"0,66%","7,13",2020-06-11
47,Silves,291.0,139.0,3.0,"0,26%","1.515,65",4.0,"2,88%","43,62",2020-06-11
48,Boa Vista do Ramos,268.0,133.0,3.0,"0,25%","692,46",2.0,"1,50%","10,41",2020-06-11
49,Caapiranga,259.0,124.0,0.0,"0,23%","947,94",2.0,"1,61%","15,29",2020-06-11
50,Guajará,110.0,107.0,0.0,"0,20%","641,56",1.0,"0,93%","6,00",2020-06-11
51,Nhamundá,160.0,102.0,1.0,"0,19%","481,75",2.0,"1,96%","9,45",2020-06-11
52,Codajás,149.0,93.0,0.0,"0,17%","324,75",2.0,"2,15%","6,98",2020-06-11
53,Manicoré,618.0,93.0,32.0,"0,17%","166,81",2.0,"2,15%","3,59",2020-06-11
54,Pauini (1),93.0,93.0,0.0,"0,17%","478,74",0.0,"0,00%","0,00",2020-06-11
55,Itamarati (1),262.0,78.0,0.0,"0,14%","993,50",1.0,"1,28%","12,74",2020-06-11
56,Juruá (1),393.0,72.0,0.0,"0,13%","489,40",0.0,"0,00%","0,00",2020-06-11
57,Santa Isabel do Rio Negro (1),119.0,63.0,0.0,"0,12%","250,44",1.0,"1,59%","3,98",2020-06-11
58,Careiro da Várzea,148.0,56.0,0.0,"0,10%","185,28",4.0,"7,14%","13,23",2020-06-11
59,Canutama,129.0,49.0,0.0,"0,09%","313,52",0.0,"0,00%","0,00",2020-06-11
60,Apuí (1),149.0,27.0,0.0,"0,05%","122,88",0.0,"0,00%","0,00",2020-06-11
61,Envira (2),11.0,0.0,0.0,"0,00%","0,00",0.0,"0,00%","0,00",2020-06-11
62,Ipixuna (2),18.0,0.0,0.0,"0,00%","0,00",0.0,"0,00%","0,00",2020-06-11
