,Municipio,Notificados,Confirmados,Clinico Epidemiologico,Participacao por Municipio,Incidencia,Obitos,Letalidade,Mortalidade,Data
0,Manaus,97700,34101,143.0,35.13%,1562.29,1988,5.83%,91.8,2020-07-27 00:00:00
1,INTERIOR,127249,62978,908.0,64.87%,3210.16,1236,1.96%,63,2020-07-27 00:00:00
2,Coari,12832,6.707000000000001,0,6.91%,7881.59,95,1.42%,111.64,2020-07-27 00:00:00
3,Manacapuru,8212,3345,9,3.45%,3435.1,135,4.04%,138.64,2020-07-27 00:00:00
4,Parintins,9209,3.29,2,3.39%,2879.07,98,2.98%,85.76,2020-07-27 00:00:00
5,São Gabriel da Cachoeira,4377,3.19,63,3.29%,7001.14,49,1.54%,107.54,2020-07-27 00:00:00
6,Tefé,4200,3142,234,3.24%,5249.88,82,2.61%,137.01,2020-07-27 00:00:00
7,Humaitá,4270,2105,11,2.17%,3821.71,54,2.57%,98.04,2020-07-27 00:00:00
8,Barcelos,4265,2045,0,2.11%,7435.82,24,1.17%,87.27,2020-07-27 00:00:00
9,Itacoatiara,4430,1.9480000000000002,2,2.01%,1922.3,60,3.08%,59.21,2020-07-27 00:00:00
10,Presidente Figueiredo,5393,1.8,0,1.85%,4961.55,20,1.11%,55.13,2020-07-27 00:00:00
11,Tabatinga,3109,1653,1,1.70%,2510.48,78,4.72%,118.46,2020-07-27 00:00:00
12,Iranduba,4280,1577,3,1.62%,3265.28,46,2.92%,95.25,2020-07-27 00:00:00
13,Benjamin Constant,2746,1521,0,1.57%,3538.53,35,2.30%,81.43,2020-07-27 00:00:00
14,Santa Isabel do Rio Negro,1812,1419,26,1.46%,5640.8,12,0.85%,47.7,2020-07-27 00:00:00
15,Lábrea,1479,1.33,0,1.37%,2886.97,17,1.28%,36.9,2020-07-27 00:00:00
16,Eirunepé,2950,1266,0,1.30%,3589.15,2,0.16%,5.67,2020-07-27 00:00:00
17,Maués (5),2777,1162,0,1.20%,1818.32,32,2.75%,50.07,2020-07-27 00:00:00
18,Autazes,2162,1146,1,1.18%,2896.5,35,3.05%,88.46,2020-07-27 00:00:00
19,Alvarães,1715,1126,95,1.16%,7019.51,13,1.15%,81.04,2020-07-27 00:00:00
20,Santo Antônio do Içá,1571,1081,0,1.11%,5004.17,20,1.85%,92.58,2020-07-27 00:00:00
21,Careiro,1695,1.08,1,1.11%,2851.94,16,1.48%,42.25,2020-07-27 00:00:00
22,São Paulo de Olivença (5),1577,981.0,13,1.01%,2496.25,21,2.14%,53.44,2020-07-27 00:00:00
23,Tapauá,2304,894.0,0,0.92%,5211,5,0.56%,29.14,2020-07-27 00:00:00
24,Pauini (5),877,877.0,0,0.90%,4514.57,4,0.46%,20.59,2020-07-27 00:00:00
25,Boca do Acre,1797,824.0,0,0.85%,2401.77,11,1.33%,32.06,2020-07-27 00:00:00
26,Manicoré,2922,818.0,0,0.84%,1467.24,18,2.20%,32.29,2020-07-27 00:00:00
27,Carauari,2892,815.0,1,0.84%,2880.47,7,0.86%,24.74,2020-07-27 00:00:00
28,Barreirinha,1664,749.0,0,0.77%,2337.63,9,1.20%,28.09,2020-07-27 00:00:00
29,Rio Preto da Eva,2751,738.0,6,0.76%,2213.09,15,2.03%,44.98,2020-07-27 00:00:00
30,Guajará,875,731.0,0,0.75%,4383.02,8,1.09%,47.97,2020-07-27 00:00:00
31,Atalaia do Norte,1410,730.0,5,0.75%,3664.47,4,0.55%,20.08,2020-07-27 00:00:00
32,Fonte Boa,1389,726.0,0,0.75%,4122.89,18,2.48%,102.22,2020-07-27 00:00:00
33,Anori,1587,709.0,0,0.73%,3374.58,11,1.55%,52.36,2020-07-27 00:00:00
34,Nova Olinda do Norte,904,708.0,1,0.73%,1894.16,22,3.11%,58.86,2020-07-27 00:00:00
35,Borba,1567,652.0,88,0.67%,1584.02,22,3.37%,53.45,2020-07-27 00:00:00
36,Novo Aripuanã (5),703,633.0,0,0.65%,2468.41,10,1.58%,39,2020-07-27 00:00:00
37,Uarini,616,616.0,0,0.63%,4549.48,9,1.46%,66.47,2020-07-27 00:00:00
38,Urucurituba,1600,591.0,75,0.61%,2562.32,4,0.68%,17.34,2020-07-27 00:00:00
39,Itapiranga (5),554,554.0,2,0.57%,6055.97,6,1.08%,65.59,2020-07-27 00:00:00
40,Tonantins,1246,539.0,0,0.56%,2873.9,14,2.60%,74.65,2020-07-27 00:00:00
41,Beruri,826,526.0,2,0.54%,2672.9,7,1.33%,35.57,2020-07-27 00:00:00
42,Amaturá,569,497.0,0,0.51%,4308.25,8,1.61%,69.35,2020-07-27 00:00:00
43,Itamarati,1106,496.0,0,0.51%,6317.67,4,0.81%,50.95,2020-07-27 00:00:00
44,Nhamundá,609,473.0,0,0.49%,2233.98,6,1.27%,28.34,2020-07-27 00:00:00
45,Urucará,859,461.0,5,0.47%,2835.88,6,1.30%,36.91,2020-07-27 00:00:00
46,Anamã,870,438.0,0,0.45%,3217.28,0,0.00%,0,2020-07-27 00:00:00
47,Manaquiri,510,419.0,1,0.43%,1305.09,12,2.86%,37.38,2020-07-27 00:00:00
48,Ipixuna,1339,416.0,0,0.43%,1401.19,0,0.00%,0,2020-07-27 00:00:00
49,São Sebastião do Uatumã,560,404.0,0,0.42%,2881.6,2,0.50%,14.27,2020-07-27 00:00:00
50,Juruá,899,399.0,1,0.41%,2712.07,5,1.25%,33.99,2020-07-27 00:00:00
51,Japurá,721,353.0,158,0.36%,12813.07,1,0.28%,36.3,2020-07-27 00:00:00
52,Maraã,719,345.0,70,0.36%,1893.11,4,1.16%,21.95,2020-07-27 00:00:00
53,Jutaí,659,303.0,6,0.31%,2116.37,16,5.28%,111.76,2020-07-27 00:00:00
54,Boa Vista do Ramos,579,283.0,3,0.29%,1473.42,2,0.71%,10.41,2020-07-27 00:00:00
55,Novo Airão,780,243.0,0,0.25%,1249.1,6,2.47%,30.84,2020-07-27 00:00:00
56,Caapiranga,597,226.0,4,0.23%,1727.7,4,1.77%,30.58,2020-07-27 00:00:00
57,Silves,468,204.0,5,0.21%,2224.4,5,2.45%,54.52,2020-07-27 00:00:00
58,Canutama (5),289,185.0,13,0.19%,1183.7,0,0.00%,0,2020-07-27 00:00:00
59,Codajás,301,182.0,1,0.19%,635.54,3,1.65%,10.48,2020-07-27 00:00:00
60,Careiro da Várzea,464,129.0,0,0.13%,426.8,4,3.10%,13.23,2020-07-27 00:00:00
61,Apuí (5),267,98.0,0,0.10%,446,0,0.00%,0,2020-07-27 00:00:00
62,Envira,539,80.0,0,0.08%,399.34,0,0.00%,0,2020-07-27 00:00:00
