,Municipio,Notificados,Confirmados,Clinico Epidemiologico,Participacao por Municipio,Incidencia, Obitos,Letalidade,Mortalidade,Data
0,Manaus,75.138,27.169,143.0,"38,36%","1.244,71",1.790,"6,59%","82,01",2020-06-30
1,INTERIOR,86.964,43.654,646.0,"61,64%","2.225,16",1.033,"2,37%","52,65",2020-06-30
2,Coari,8.233,3.767,0.0,"5,32%","4.426,71",84,"2,23%","98,71",2020-06-30
3,Manacapuru,7.684,3.134,13.0,"4,43%","3.218,42",125,"3,99%","128,37",2020-06-30
4,Tefé,3.218,2.784,180.0,"3,93%","4.651,71",79,"2,84%","132,00",2020-06-30
5,São Gabriel da Cachoeira,3.850,2.703,52.0,"3,82%","5.932,31",44,"1,63%","96,57",2020-06-30
6,Parintins,5.751,2.550,2.0,"3,60%","2.231,50",78,"3,06%","68,26",2020-06-30
7,Itacoatiara,3.354,1.478,2.0,"2,09%","1.458,50",53,"3,59%","52,30",2020-06-30
8,Benjamin Constant,2.511,1.458,1.0,"2,06%","3.391,96",27,"1,85%","62,81",2020-06-30
9,Tabatinga,2.601,1.417,2.0,"2,00%","2.152,06",74,"5,22%","112,39",2020-06-30
10,Iranduba,3.095,1.224,5.0,"1,73%","2.534,37",41,"3,35%","84,89",2020-06-30
11,Presidente Figueiredo,3.217,1.069,1.0,"1,51%","2.946,61",20,"1,87%","55,13",2020-06-30
12,Santo Antônio do Içá,1.481,1.000,2.0,"1,41%","4.629,20",19,"1,90%","87,95",2020-06-30
13,Maués,2.171,987,15.0,"1,39%","1.544,48",31,"3,14%","48,51",2020-06-30
14,Autazes,1.703,965,1.0,"1,36%","2.439,02",27,"2,80%","68,24",2020-06-30
15,Alvarães,1.408,964,4.0,"1,36%","6.009,60",13,"1,35%","81,04",2020-06-30
16,Careiro,1.578,922,1.0,"1,30%","2.434,71",13,"1,41%","34,33",2020-06-30
17,Barcelos,1.823,907,0.0,"1,28%","3.297,94",22,"2,43%","79,99",2020-06-30
18,Humaitá (1),1.831,767,0.0,"1,08%","1.392,52",18,"2,35%","32,68",2020-06-30
19,Tapauá (1),1.747,677,0.0,"0,96%","3.946,14",3,"0,44%","17,49",2020-06-30
20,Rio Preto da Eva,2.491,651,8.0,"0,92%","1.952,20",13,"2,00%","38,98",2020-06-30
21,São Paulo de Olivença,1.180,651,13.0,"0,92%","1.656,53",18,"2,76%","45,80",2020-06-30
22,Boca do Acre (1),1.342,627,0.0,"0,89%","1.827,56",10,"1,59%","29,15",2020-06-30
23,Barreirinha,1.015,613,0.0,"0,87%","1.913,17",7,"1,14%","21,85",2020-06-30
24,Anori,956,566,0.0,"0,80%","2.693,96",10,"1,77%","47,60",2020-06-30
25,Fonte Boa (1),1.129,564,39.0,"0,80%","3.202,91",16,"2,84%","90,86",2020-06-30
26,Itapiranga (1),514,514,1.0,"0,73%","5.618,71",6,"1,17%","65,59",2020-06-30
27,Carauari,1.654,513,1.0,"0,72%","1.813,11",6,"1,17%","21,21",2020-06-30
28,Lábrea,619,519,3.0,"0,73%","1.126,57",7,"1,35%","15,19",2020-06-30
29,Uarini,509,509,0.0,"0,72%","3.759,23",6,"1,18%","44,31",2020-06-30
30,Nova Olinda do Norte,659,496,5.0,"0,70%","1.326,98",20,"4,03%","53,51",2020-06-30
31,Atalaia do Norte,770,509,0.0,"0,72%","2.555,09",2,"0,39%","10,04",2020-06-30
32,Tonantins (1),937,463,1.0,"0,65%","2.468,68",14,"3,02%","74,65",2020-06-30
33,Eirunepé,1.280,466,0.0,"0,66%","1.321,12",0,"0,00%","0,00",2020-06-30
34,Borba (1),1.049,446,84.0,"0,63%","1.083,55",18,"4,04%","43,73",2020-06-30
35,Novo Aripuanã,572,410,0.0,"0,58%","1.598,81",9,"2,20%","35,10",2020-06-30
36,Amaturá (1),417,415,0.0,"0,59%","3.597,43",8,"1,93%","69,35",2020-06-30
37,Guajará,433,430,0.0,"0,61%","2.578,25",1,"0,23%","6,00",2020-06-30
38,Beruri,495,431,2.0,"0,61%","2.190,15",6,"1,39%","30,49",2020-06-30
39,Urucurituba,1.093,401,1.0,"0,57%","1.738,56",4,"1,00%","17,34",2020-06-30
