,Municipio,Notificados,Confirmados,Clinico Epidemiologico,Participação por Municipio,Incidencia, Obitos,Letalidade,Mortalidade,Data
3,Manaus,49.841,18.981,125.0,"43,94%","869,59",1.390,"7,32%","63,68",2020-06-02
4,INTERIOR,45.041,24.214,69.0,"56,06%","1234,25",712,"2,94%","36,29",2020-06-02
5,Manacapuru,5.483,2.437,2,"5,64%","2502,64",96,"3,94%","98,59",2020-06-02
6,Coari,2.470,2.062,0,"4,77%","2423,12",55,"2,67%","64,63",2020-06-02
7,Tefé,2.098,1.935,0,"4,48%","3233,14",59,"3,05%","98,58",2020-06-02
8,São Gabriel da Cachoeira,2.200,1.864,0,"4,32%","4090,95",23,"1,23%","50,48",2020-06-02
9,Parintins,2.084,1.3630000000000002,0,"3,16%","1192,76",58,"4,26%","50,76",2020-06-02
10,Benjamin Constant,1.467,910.0,1,"2,11%","2117,07",24,"2,64%","55,83",2020-06-02
11,Tabatinga,2.108,943.0,0,"2,18%","1432,17",58,"6,15%","88,09",2020-06-02
12,Itacoatiara,1.533,817.0,0,"1,89%","806,22",45,"5,51%","44,41",2020-06-02
13,Santo Antônio do Içá,1.127,732.0,2,"1,69%","3388,58",14,"1,91%","64,81",2020-06-02
14,Maués,1.350,694.0,12,"1,61%","1085,99",29,"4,18%","45,38",2020-06-02
15,Careiro,1.311,700.0,0,"1,62%","1848,48",13,"1,86%","34,33",2020-06-02
16,Iranduba,1.652,680.0,1,"1,57%","1407,98",23,"3,38%","47,62",2020-06-02
17,Autazes,947,582.0,0,"1,35%","1471,00",22,"3,78%","55,60",2020-06-02
18,Rio Preto da Eva,2.241,536.0,1,"1,24%","1607,34",11,"2,05%","32,99",2020-06-02
19,Barcelos,1.168,484.0,0,"1,12%","1759,87",16,"3,31%","58,18",2020-06-02
20,São Paulo de Olivença,811,433.0,0,"1,00%","1101,81",11,"2,54%","27,99",2020-06-02
21,Presidente Figueiredo,1.206,468.0,0,"1,08%","1290,00",16,"3,42%","44,10",2020-06-02
22,Boca do Acre,807,422.0,0,"0,98%","1230,03",6,"1,42%","17,49",2020-06-02
23,Tapauá,1.026,402.0,0,"0,93%","2343,20",3,"0,75%","17,49",2020-06-02
24,Anori,690,380.0,0,"0,88%","1808,66",4,"1,05%","19,04",2020-06-02
25,Itapiranga,355,345.0,0,"0,80%","3771,32",4,"1,16%","43,73",2020-06-02
26,Barreirinha,537,310.0,0,"0,72%","967,51",4,"1,29%","12,48",2020-06-02
27,Amaturá,321,317.0,0,"0,73%","2747,92",8,"2,52%","69,35",2020-06-02
28,Carauari,897,245.0,0,"0,57%","865,91",2,"0,82%","7,07",2020-06-02
29,Fonte Boa,360,268.0,19,"0,62%","1521,95",9,"3,36%","51,11",2020-06-02
30,Borba,622,250.0,1,"0,58%","607,37",13,"5,20%","31,58",2020-06-02
31,Tonantins,549,278.0,0,"0,64%","1482,27",12,"4,32%","63,98",2020-06-02
32,Beruri,356,264.0,0,"0,61%","1341,53",5,"1,89%","25,41",2020-06-02
33,Urucará,505,229.0,0,"0,53%","1408,71",2,"0,87%","12,30",2020-06-02
34,Anamã,286,190.0,0,"0,44%","1395,62",0,"0,00%","0,00",2020-06-02
35,Novo Aripuanã,266,187.0,0,"0,43%","729,22",6,"3,21%","23,40",2020-06-02
36,Alvarães,470,292.0,0,"0,68%","1820,34",9,"3,08%","56,11",2020-06-02
37,Eirunepé,320,168.0,0,"0,39%","476,28",0,"0,00%","0,00",2020-06-02
38,Novo Airão,371,149.0,0,"0,34%","765,91",5,"3,36%","25,70",2020-06-02
39,Silves,271,133.0,1,"0,31%","1450,22",4,"3,01%","43,62",2020-06-02
40,Manaquiri,265,136.0,0,"0,31%","423,61",6,"4,41%","18,69",2020-06-02
41,Urucurituba,470,155.0,0,"0,36%","672,01",2,"1,29%","8,67",2020-06-02
42,Uarini,135,130.0,0,"0,30%","960,12",0,"0,00%","0,00",2020-06-02
43,Jutaí,334,119.0,0,"0,28%","831,18",10,"8,40%","69,85",2020-06-02
44,Nova Olinda do Norte,162,112.0,3,"0,26%","299,64",9,"8,04%","24,08",2020-06-02
