,INDICADOR,HOSPITAIS,FUNDACOES,MATERNIDADES,SPA,UPA,REDE_MUNICIPAL,REDE_PRIVADA,FORCAS_ARMADAS,TOTAL,DATA
1,LEITOS SALA VERMELHA COVID - OCUPADOS,26,0,0,0,0,-,-,-,26,2020-04-06
2,LEITOS SALA VERMELHA - NÃO COVID - OCUPADOS,30,0,0,2,0,-,-,-,32,2020-04-06
3,LEITOS SALA VERMELHA - NÃO COVID,43,5,2,15,4,-,-,-,69,2020-04-06
4,LEITOS SALA VERMELHA COVID,42,4,7,8,4,-,-,-,65,2020-04-06
5,TOTAL  SALA VERMELHA,85,9,9,23,8,-,-,-,134,2020-04-06
6,LEITOS CLINICOS COVID - OCUPADOS,347,13,13,3,0,72,74,9,376,2020-04-06
7,LEITOS CLINICOS NÃO COVID - OCUPADOS,306,147,325,9,7,0,259,3,794,2020-04-06
8,LEITOS CLINICOS NÃO COVID,626,275,390,80,26,0,424,12,1.397,2020-04-06
9,LEITOS CLINICOS COVID,703,27,114,68,13,123,189,54,925,2020-04-06
10,TOTAL DE LEITOS CLÍNICOS,1.329,302,504,148,39,123,613,66,2.322,2020-04-06
11,UTI COVID - OCUPADOS,145,1,8,NT,NT,24,81,6,154,2020-04-06
12,UTI NÃO COVID - OCUPADOS,61,8,42,NT,NT,0,70,0,111,2020-04-06
13,UTI NÃO COVID,125,31,44,NT,NT,0,98,0,200,2020-04-06
14,UTI COVID,228,12,27,NT,NT,38,158,17,267,2020-04-06
15,TOTAL  DE LEITOS DE UTI,353,43,71,NT,NT,38,256,17,467,2020-04-06
