,Municipio,Notificados,Confirmados,Clinico Epidemiologico,Participacao por Municipio,Incidencia, Obitos,Letalidade,Mortalidade,Data
0,Manaus,58.978,22.159000000000002,143.0,"41,93%","1.015,18",1.534,"6,92%","70,28",2020-06-10
1,INTERIOR,57.978,30.69,318.0,"58,07%","1.564,35",829.0,"2,70%","42,26",2020-06-10
2,Manacapuru (1),6.558,2.728,12.0,"5,16%","2.801,48",117.0,"4,29%","120,15",2020-06-10
3,Tefé,2.7739999999999996,2.391,65.0,"4,52%","3.995,05",64.0,"2,68%","106,94",2020-06-10
4,São Gabriel da Cachoeira,2.6660000000000004,2.352,43.0,"4,45%","5.161,97",27.0,"1,15%","59,26",2020-06-10
5,Coari,4.293,2.123,0.0,"4,02%","2.494,80",64.0,"3,01%","75,21",2020-06-10
6,Parintins,3.444,1.779,1.0,"3,37%","1.556,80",62.0,"3,49%","54,26",2020-06-10
7,Benjamin Constant,1.9040000000000001,1.179,1.0,"2,23%","2.742,88",25.0,"2,12%","58,16",2020-06-10
8,Tabatinga,2.168,1.143,2.0,"2,16%","1.735,92",67.0,"5,86%","101,76",2020-06-10
9,Itacoatiara (1),1.98,1.053,0.0,"1,99%","1.039,11",50.0,"4,75%","49,34",2020-06-10
10,Iranduba,2.424,1.037,5.0,"1,96%","2.147,18",34.0,"3,28%","70,40",2020-06-10
11,Santo Antônio do Içá,1.3419999999999999,891.0,2.0,"1,69%","4.124,62",16.0,"1,80%","74,07",2020-06-10
12,Careiro,1.445,812.0,0.0,"1,54%","2.144,23",13.0,"1,60%","34,33",2020-06-10
13,Maués,1.534,757.0,15.0,"1,43%","1.184,57",29.0,"3,83%","45,38",2020-06-10
14,Autazes (1),1.161,713.0,1.0,"1,35%","1.802,10",23.0,"3,23%","58,13",2020-06-10
15,Rio Preto da Eva,2.301,693.0,6.0,"1,31%","2.078,15",11.0,"1,59%","32,99",2020-06-10
16,Barcelos,1.27,663.0,0.0,"1,25%","2.410,73",20.0,"3,02%","72,72",2020-06-10
17,Presidente Figueiredo,1.556,607.0,0.0,"1,15%","1.673,14",17.0,"2,80%","46,86",2020-06-10
18,Tapauá (1),1.295,512.0,0.0,"0,97%","2.984,38",3.0,"0,59%","17,49",2020-06-10
19,São Paulo de Olivença,915.0,510.0,1.0,"0,97%","1.297,74",14.0,"2,75%","35,62",2020-06-10
20,Boca do Acre,974.0,508.0,0.0,"0,96%","1.480,70",8.0,"1,57%","23,32",2020-06-10
21,Anori,695.0,503.0,0.0,"0,95%","2.394,10",8.0,"1,59%","38,08",2020-06-10
22,Itapiranga,433.0,433.0,1.0,"0,82%","4.733,28",5.0,"1,15%","54,66",2020-06-10
23,Barreirinha,655.0,431.0,0.0,"0,82%","1.345,15",5.0,"1,16%","15,61",2020-06-10
24,Alvarães (1),648.0,389.0,0.0,"0,74%","2.425,04",10.0,"2,57%","62,34",2020-06-10
25,Beruri,465.0,374.0,1.0,"0,71%","1.900,50",5.0,"1,34%","25,41",2020-06-10
26,Fonte Boa,609.0,350.0,39.0,"0,66%","1.987,62",13.0,"3,71%","73,83",2020-06-10
27,Amaturá,348.0,342.0,0.0,"0,65%","2.964,63",8.0,"2,34%","69,35",2020-06-10
28,Tonantins,695.0,342.0,1.0,"0,65%","1.823,51",14.0,"4,09%","74,65",2020-06-10
29,Borba,781.0,334.0,4.0,"0,63%","811,45",16.0,"4,79%","38,87",2020-06-10
30,Carauari,1.092,327.0,0.0,"0,62%","1.155,72",3.0,"0,92%","10,60",2020-06-10
31,Uarini,326.0,326.0,0.0,"0,62%","2.407,68",1.0,"0,31%","7,39",2020-06-10
32,Novo Aripuanã,321.0,269.0,0.0,"0,51%","1.048,98",8.0,"2,97%","31,20",2020-06-10
33,Humaitá,802.0,266.0,0.0,"0,50%","482,93",3.0,"1,13%","5,45",2020-06-10
34,Urucará,575.0,256.0,3.0,"0,48%","1.574,80",4.0,"1,56%","24,61",2020-06-10
35,Anamã,365.0,228.0,0.0,"0,43%","1.674,75",0.0,"0,00%","0,00",2020-06-10
36,Urucurituba,636.0,226.0,0.0,"0,43%","979,84",2.0,"0,88%","8,67",2020-06-10
37,Eirunepé,611.0,217.0,0.0,"0,41%","615,20",0.0,"0,00%","0,00",2020-06-10
38,Atalaia do Norte,230.0,197.0,0.0,"0,37%","988,91",1.0,"0,51%","5,02",2020-06-10
39,Novo Airão,481.0,185.0,0.0,"0,35%","950,96",5.0,"2,70%","25,70",2020-06-10
40,Jutaí,359.0,167.0,7.0,"0,32%","1.166,45",12.0,"7,19%","83,82",2020-06-10
41,Manaquiri,290.0,162.0,1.0,"0,31%","504,59",7.0,"4,32%","21,80",2020-06-10
42,Japurá,348.0,156.0,54.0,"0,30%","5.662,43",0.0,"0,00%","0,00",2020-06-10
43,Nova Olinda do Norte,211.0,154.0,4.0,"0,29%","412,01",13.0,"8,44%","34,78",2020-06-10
44,Lábrea,220.0,146.0,3.0,"0,28%","316,92",1.0,"0,68%","2,17",2020-06-10
45,São Sebastião do Uatumã,275.0,146.0,0.0,"0,28%","1.041,37",1.0,"0,68%","7,13",2020-06-10
46,Maraã,403.0,145.0,23.0,"0,27%","795,65",1.0,"0,69%","5,49",2020-06-10
47,Silves,291.0,139.0,2.0,"0,26%","1.515,65",4.0,"2,88%","43,62",2020-06-10
48,Caapiranga,257.0,124.0,0.0,"0,23%","947,94",2.0,"1,61%","15,29",2020-06-10
49,Boa Vista do Ramos,249.0,111.0,3.0,"0,21%","577,91",2.0,"1,80%","10,41",2020-06-10
50,Guajará,100.0,97.0,0.0,"0,18%","581,60",1.0,"1,03%","6,00",2020-06-10
51,Nhamundá,155.0,97.0,1.0,"0,18%","458,13",2.0,"2,06%","9,45",2020-06-10
52,Pauini,93.0,93.0,0.0,"0,18%","478,74",0.0,"0,00%","0,00",2020-06-10
53,Codajás,137.0,88.0,0.0,"0,17%","307,29",2.0,"2,27%","6,98",2020-06-10
54,Manicoré,596.0,88.0,17.0,"0,17%","157,84",2.0,"2,27%","3,59",2020-06-10
55,Itamarati,262.0,78.0,0.0,"0,15%","993,50",1.0,"1,28%","12,74",2020-06-10
56,Juruá (1),393.0,72.0,0.0,"0,14%","489,40",0.0,"0,00%","0,00",2020-06-10
