,Municipio,Notificados,Confirmados,Clinico Epidemiologico,Participacao por Municipio,Incidencia, Obitos,Letalidade,Mortalidade,Data
0,Manaus,63.153999999999996,23.612,143.0,"40,70%","1.081,75",1.645,"6,97%","75,36",2020-06-16
1,INTERIOR,66.35300000000001,34.406,399.0,"59,30%","1.753,77",905.0,"2,63%","46,13",2020-06-16
2,Coari,5.822,2.912,0.0,"5,02%","3.421,98",77.0,"2,64%","90,48",2020-06-16
3,Manacapuru,6.794,2.9,13.0,"5,00%","2.978,12",121.0,"4,17%","124,26",2020-06-16
4,Tefé,2.86,2.511,85.0,"4,33%","4.195,56",74.0,"2,95%","123,64",2020-06-16
5,São Gabriel da Cachoeira,3.35,2.434,52.0,"4,20%","5.341,94",34.0,"1,40%","74,62",2020-06-16
6,Parintins,4.218999999999999,2.051,2.0,"3,54%","1.794,82",65.0,"3,17%","56,88",2020-06-16
7,Benjamin Constant,2.208,1.3330000000000002,1.0,"2,30%","3.101,15",25.0,"1,88%","58,16",2020-06-16
8,Itacoatiara,2.329,1.209,0.0,"2,08%","1.193,05",50.0,"4,14%","49,34",2020-06-16
9,Tabatinga,2.218,1.189,2.0,"2,05%","1.805,78",67.0,"5,63%","101,76",2020-06-16
10,Iranduba,2.74,1.167,5.0,"2,01%","2.416,35",35.0,"3,00%","72,47",2020-06-16
11,Santo Antônio do Içá,1.401,924.0,2.0,"1,59%","4.277,38",18.0,"1,95%","83,33",2020-06-16
12,Careiro,1.5,862.0,0.0,"1,49%","2.276,27",13.0,"1,51%","34,33",2020-06-16
13,Autazes,1.369,809.0,1.0,"1,39%","2.044,74",27.0,"3,34%","68,24",2020-06-16
14,Maués,1.686,808.0,15.0,"1,39%","1.264,38",29.0,"3,59%","45,38",2020-06-16
15,Barcelos,1.55,780.0,0.0,"1,34%","2.836,16",20.0,"2,56%","72,72",2020-06-16
16,Presidente Figueiredo,1.979,712.0,1.0,"1,23%","1.962,57",20.0,"2,81%","55,13",2020-06-16
17,Rio Preto da Eva,2.3609999999999998,603.0,6.0,"1,04%","1.808,26",11.0,"1,82%","32,99",2020-06-16
18,São Paulo de Olivença,997.0,568.0,4.0,"0,98%","1.445,33",15.0,"2,64%","38,17",2020-06-16
19,Boca do Acre (1),1.054,541.0,0.0,"0,93%","1.576,89",8.0,"1,48%","23,32",2020-06-16
20,Anori,779.0,539.0,0.0,"0,93%","2.565,45",9.0,"1,67%","42,84",2020-06-16
21,Tapauá (1),1.295,512.0,0.0,"0,88%","2.984,38",3.0,"0,59%","17,49",2020-06-16
22,Alvarães,769.0,477.0,4.0,"0,82%","2.973,63",11.0,"2,31%","68,57",2020-06-16
23,Barreirinha,718.0,472.0,0.0,"0,81%","1.473,11",6.0,"1,27%","18,73",2020-06-16
24,Itapiranga,457.0,457.0,1.0,"0,79%","4.995,63",5.0,"1,09%","54,66",2020-06-16
25,Carauari,1.3030000000000002,399.0,1.0,"0,69%","1.410,19",6.0,"1,50%","21,21",2020-06-16
26,Uarini,378.0,378.0,0.0,"0,65%","2.791,73",4.0,"1,06%","29,54",2020-06-16
27,Fonte Boa,731.0,376.0,39.0,"0,65%","2.135,27",14.0,"3,72%","79,50",2020-06-16
28,Beruri,465.0,374.0,1.0,"0,64%","1.900,50",6.0,"1,60%","30,49",2020-06-16
29,Tonantins,749.0,371.0,1.0,"0,64%","1.978,14",14.0,"3,77%","74,65",2020-06-16
30,Borba,850.0,367.0,12.0,"0,63%","891,62",16.0,"4,36%","38,87",2020-06-16
31,Amaturá,378.0,357.0,0.0,"0,62%","3.094,66",8.0,"2,24%","69,35",2020-06-16
32,Humaitá,1.052,338.0,0.0,"0,58%","613,65",4.0,"1,18%","7,26",2020-06-16
33,Novo Aripuanã,388.0,328.0,0.0,"0,57%","1.279,05",8.0,"2,44%","31,20",2020-06-16
34,Atalaia do Norte,465.0,303.0,0.0,"0,52%","1.521,01",1.0,"0,33%","5,02",2020-06-16
35,Nova Olinda do Norte,417.0,297.0,5.0,"0,51%","794,59",18.0,"6,06%","48,16",2020-06-16
36,Urucará,605.0,278.0,7.0,"0,48%","1.710,14",4.0,"1,44%","24,61",2020-06-16
37,Urucurituba,712.0,268.0,0.0,"0,46%","1.161,93",2.0,"0,75%","8,67",2020-06-16
38,Lábrea,302.0,255.0,3.0,"0,44%","553,52",3.0,"1,18%","6,51",2020-06-16
39,Eirunepé,687.0,252.0,0.0,"0,43%","714,43",0.0,"0,00%","0,00",2020-06-16
40,Anamã,410.0,241.0,0.0,"0,42%","1.770,24",0.0,"0,00%","0,00",2020-06-16
41,Jutaí,455.0,210.0,7.0,"0,36%","1.466,79",13.0,"6,19%","90,80",2020-06-16
42,Novo Airão,510.0,192.0,0.0,"0,33%","986,94",5.0,"2,60%","25,70",2020-06-16
43,Manaquiri (1),315.0,182.0,1.0,"0,31%","566,89",8.0,"4,40%","24,92",2020-06-16
44,Japurá,381.0,175.0,63.0,"0,30%","6.352,09",0.0,"0,00%","0,00",2020-06-16
45,São Sebastião do Uatumã,310.0,165.0,1.0,"0,28%","1.176,89",1.0,"0,61%","7,13",2020-06-16
46,Maraã (1),459.0,158.0,23.0,"0,27%","866,99",2.0,"1,27%","10,97",2020-06-16
47,Silves,308.0,145.0,3.0,"0,25%","1.581,07",4.0,"2,76%","43,62",2020-06-16
48,Boa Vista do Ramos,291.0,138.0,3.0,"0,24%","718,49",2.0,"1,45%","10,41",2020-06-16
